geometry,category
POINT (42.1377777777 9.3088888888),Cultural
POINT (37.4 5.3),Cultural
POINT (178.834533333 -17.6833777778),Cultural
POINT (21.7775 61.12056),Cultural
POINT (21.51167 61.12806),Cultural
POINT (24.98722 60.14722),Cultural
POINT (25.18333 62.25),Cultural
POINT (26.64083 61.06194),Cultural
POINT (-1.51056 48.63556),Cultural
POINT (1.487222222 48.4475),Cultural
POINT (2.119444444 48.805),Cultural
POINT (3.748333333 47.46638889),Cultural
POINT (1.17 45.0575),Cultural
POINT (2.698055556 48.40194444),Cultural
POINT (2.301666667 49.895),Cultural
POINT (4.808416667 44.13572222),Cultural
POINT (4.630694444 43.67763889),Cultural
POINT (4.38911 47.63944),Cultural
POINT (5.8763888889 46.9375),Cultural
POINT (4.806111111 43.95277778),Cultural
POINT (6.183333333 48.69361111),Cultural
POINT (0.86611 46.56472),Cultural
POINT (8.628833332999999 42.32519444),Natural
POINT (4.535277778 43.94722222),Cultural
POINT (2.358888889 43.21055556),Cultural
POINT (7.7488888889 48.5844444444),Cultural
POINT (2.294166667 48.85833333),Cultural
POINT (4.032777778 49.25333333),Cultural
POINT (2.398333333 47.08222222),Cultural
POINT (1.416388889 43.61138889),Cultural
POINT (0.722944444 45.18405556),Cultural
POINT (4.83333 45.76722),Cultural
POINT (3.298888889 48.55972222),Cultural
POINT (-0.155277778 44.89472222),Cultural
POINT (0.70278 47.39889),Cultural
POINT (164.566388889 -20.4119444444),Natural
POINT (3.4730555556 44.2202777778),Cultural
POINT (0.1075 49.49278),Cultural
POINT (-0.5722222222 44.8388888889),Cultural
POINT (6.0269444444 47.2361111111),Cultural
POINT (55.48 -21.0994444444),Natural
POINT (2.1425 43.9283333333),Cultural
POINT (3.5461111111 50.4625),Cultural
POINT (4.8644444444 47.0580555556),Cultural
POINT (4.4161111111 44.3875),Cultural
POINT (3.9461111111 49.0775),Cultural
POINT (-151.372377778 -16.8414),Cultural
POINT (11.5 -0.5),Mixed
POINT (-16.35719444 13.31616667),Cultural
POINT (44.71639 41.84389),Cultural
POINT (43.01139 42.91639),Cultural
POINT (42.7683333333 42.2947222222),Cultural
POINT (6.084444444 50.77444444),Cultural
POINT (8.443055555999999 49.31666667),Cultural
POINT (9.938890000000001 49.79278),Cultural
POINT (9.94389 52.15278),Cultural
POINT (10.90013889 47.68127778),Cultural
POINT (10.69167 53.86667),Cultural
POINT (6.909777778 50.82502778),Cultural
POINT (35.19444 33.27194),Cultural
POINT (6.957222222 50.94111111),Cultural
POINT (6.633333333 49.75),Cultural
POINT (8.568580000000001 49.65369),Cultural
POINT (13.03333333 52.4),Cultural
POINT (12.42083 51.8425),Cultural
POINT (11.15 51.78333),Cultural
POINT (8.81306 49.00083),Cultural
POINT (10.34 51.82),Cultural
POINT (10.88888889 49.89166667),Cultural
POINT (6.85 49.24444),Cultural
POINT (8.75389 49.91667),Natural
POINT (0 0),Cultural
POINT (12.65278 51.86472),Cultural
POINT (11.32861 50.9775),Cultural
POINT (13.39861111 52.51972222),Cultural
POINT (10.307 50.96677778),Cultural
POINT (9.061305556000001 47.69872222),Cultural
POINT (7.046111111 51.49138889),Cultural
POINT (7.694166667 50.17361111),Cultural
POINT (9.41025 51.7782777778),Cultural
POINT (13.08527778 54.3025),Cultural
POINT (8.807472221999999 53.07597222),Cultural
POINT (12.09916667 49.02055556),Cultural
POINT (13.45 52.4483333333),Cultural
POINT (9.811111111100001 51.9836111111),Cultural
POINT (11.5786111111 49.9444444444),Cultural
POINT (9.3930555556 51.3158333333),Cultural
POINT (9.9994444444 53.5455555556),Cultural
POINT (9.765555555600001 48.3877777778),Cultural
POINT (-0.49361 5.39103),Cultural
POINT (-1.6258333333 6.4011111111),Cultural
POINT (21.89694 37.43498),Cultural
POINT (22.49617 38.48149),Cultural
POINT (23.72618 37.97087),Cultural
POINT (24.21667 40.26667),Mixed
POINT (21.63333 39.71667),Mixed
POINT (22.965 40.63833),Cultural
POINT (23.11666667 37.66666667),Cultural
POINT (28.22778 36.44722),Cultural
POINT (22.36667 37.08056),Cultural
POINT (21.66666667 37.65),Cultural
POINT (25.26667 37.4),Cultural
POINT (22.75 38.4),Cultural
POINT (26.94333 37.69083),Cultural
POINT (93.41666667 26.66666667),Natural
POINT (22.31833 40.47139),Cultural
POINT (22.75 37.73333333),Cultural
POINT (26.55 37.3),Cultural
POINT (19.9275 39.6239413889),Cultural
POINT (24.2852777778 41.0147222222),Cultural
POINT (-89.61666667 17.21666667),Mixed
POINT (-90.66666667 14.56666667),Cultural
POINT (-89.04025 15.27059),Cultural
POINT (-72.24417 19.57361),Cultural
POINT (12.45736 41.90216),Cultural
POINT (-89.13333 14.85),Cultural
POINT (-84.675 15.74444444),Natural
POINT (19.07067 47.48242),Cultural
POINT (19.52917 47.99444),Cultural
POINT (21.15678 47.59458),Cultural
POINT (17.78444 47.55889),Cultural
POINT (18.22778 46.07444),Cultural
POINT (21.35 48.15),Cultural
POINT (-21.03725 64.25380556),Cultural
POINT (-20.6022222222 63.3030555556),Natural
POINT (77.2408333333 28.6555555556),Cultural
POINT (77.25055999999999 28.59333),Cultural
POINT (77.18528000000001 28.52583),Cultural
POINT (73.91167 15.50222),Cultural
POINT (75.81667 15.94833),Cultural
POINT (79.92222 24.85222),Cultural
POINT (76.47167 15.31444),Cultural
POINT (75.7 20.55333),Cultural
POINT (75.17917 20.02639),Cultural
POINT (72.93583 18.96667),Cultural
POINT (86.09472 19.8875),Cultural
POINT (74.6461111111 24.8833333333),Cultural
POINT (80.19167 12.61667),Cultural
POINT (79.13249999999999 10.78305556),Cultural
POINT (78.03333333 27.18333333),Cultural
POINT (78.04222 27.17417),Cultural
POINT (77.66417 27.09444),Cultural
POINT (79.66667 30.71667),Natural
POINT (91.03055556 26.725),Natural
POINT (77.50861111 27.15888889),Natural
POINT (88.89583333 21.945),Natural
POINT (77.73972000000001 23.47944),Cultural
POINT (72.1016666667 23.8588888889),Cultural
POINT (77.58333333 22.92777778),Cultural
POINT (76.93583 11.51028),Cultural
POINT (72.8362027777 18.9401222222),Cultural
POINT (84.99388999999999 24.69528),Cultural
POINT (48.53333333 32.0833),Cultural
POINT (73.53333333 22.48333333),Cultural
POINT (75.825 26.9247222222),Cultural
POINT (77.24972222220001 8.5297222222),Natural
POINT (77.5833333333 31.8333333333),Natural
POINT (85.44388888890001 25.1366666667),Cultural
POINT (88.3772222222 27.7647222222),Mixed
POINT (72.58805555559999 23.0263888889),Cultural
POINT (110.20361 -7.60778),Cultural
POINT (110.8166667 -7.4),Cultural
POINT (105.3333333 -6.75),Natural
POINT (119.48944 -8.543329999999999),Natural
POINT (110.49167 -7.75222),Cultural
POINT (137.83333 -4.75),Natural
POINT (101.5 -2.5),Natural
POINT (115.402777778 -8.259166666700001),Cultural
POINT (52.89028 29.93444),Cultural
POINT (51.6777777777 32.65745),Cultural
POINT (47.235 36.60388889),Cultural
POINT (53.16729 30.19383),Cultural
POINT (53.1666666667 30.1666666667),Cultural
POINT (48.79667 36.43528),Cultural
POINT (58.3666666667 29.11683),Cultural
POINT (47.4366666666 34.3883333333),Cultural
POINT (45.4733333333 38.9788888889),Cultural
POINT (48.8358333333 32.0186111111),Cultural
POINT (48.2913888889 38.2486111111),Cultural
POINT (46.2930555556 38.0813888889),Cultural
POINT (51.6852777778 32.6697222222),Cultural
POINT (55.169 37.2580277778),Cultural
POINT (51.4205111111 35.6803666667),Cultural
POINT (55.3755555556 30.1680555556),Cultural
POINT (48.2561111111 32.1894444444),Cultural
POINT (61.3277777778 30.5938888889),Cultural
POINT (58.8388888889 30.2161111111),Natural
POINT (58.6544444444 34.29),Cultural
POINT (54.3691666667 31.9013888889),Cultural
POINT (43.8235430555 34.3409894444),Cultural
POINT (42.71833 35.58806),Cultural
POINT (43.25972 35.45889),Cultural
POINT (44.0091666667 36.1911111111),Cultural
POINT (47.6577777778 31.5622222222),Mixed
POINT (-6.45 53.69167),Cultural
POINT (-10.53861 51.77194),Cultural
POINT (35.35275 31.3135),Cultural
POINT (9.53833 45.59333),Cultural
